,id,place,lat,lon,dt,sunrise,sunset,moonrise,moonset,moon_phase,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,weather_id,weather_main,weather_description,weather_icon,clouds,pop,uvi,rain
0,0,Mont Saint Michel,48.6359541,-1.511459954959514,1657108800,1657080656,1657138214,1657107540,1657064040,0.23,22.96,12.66,22.96,15.89,19.45,15.46,22.59,15.96,19.23,15.23,1028,49,11.5,8.02,323,9.62,803,Clouds,broken clouds,04d,62,0.0,7.58,
1,0,Mont Saint Michel,48.6359541,-1.511459954959514,1657195200,1657167104,1657224585,1657198320,1657151340,0.25,22.47,15.17,23.15,15.84,22.39,17.27,22.31,15.31,21.89,17.4,1028,59,13.64,6.9,341,9.09,802,Clouds,scattered clouds,03d,32,0.0,8.2,
2,0,Mont Saint Michel,48.6359541,-1.511459954959514,1657281600,1657253553,1657310954,1657289340,1657238760,0.3,24.61,11.93,24.61,17.67,22.33,15.38,24.17,17.24,22.0,14.62,1031,40,9.8,7.86,326,9.93,800,Clear,clear sky,01d,1,0.0,7.98,
3,0,Mont Saint Michel,48.6359541,-1.511459954959514,1657368000,1657340005,1657397319,1657380660,1657326300,0.33,26.9,14.81,26.9,16.51,24.12,17.62,26.84,15.5,23.4,17.47,1028,41,12.38,6.85,354,7.48,800,Clear,clear sky,01d,0,0.0,7.75,
4,0,Mont Saint Michel,48.6359541,-1.511459954959514,1657454400,1657426459,1657483683,1657472160,1657414200,0.37,26.64,13.81,27.94,19.28,24.89,16.72,26.64,18.88,24.56,15.94,1026,36,10.29,7.76,48,12.92,800,Clear,clear sky,01d,9,0.0,7.61,
5,0,Mont Saint Michel,48.6359541,-1.511459954959514,1657540800,1657512914,1657570043,1657563600,1657502640,0.41,28.33,14.89,29.04,18.22,24.95,17.35,27.39,17.56,24.49,16.68,1022,31,9.54,7.33,34,10.8,800,Clear,clear sky,01d,3,0.0,8.0,
6,0,Mont Saint Michel,48.6359541,-1.511459954959514,1657627200,1657599371,1657656401,1657654560,1657591740,0.45,28.59,14.62,28.87,17.55,26.75,17.64,27.4,16.64,26.12,17.13,1023,27,7.16,6.61,21,7.98,800,Clear,clear sky,01d,0,0.0,8.0,
7,0,Mont Saint Michel,48.6359541,-1.511459954959514,1657713600,1657685830,1657742757,1657744500,1657681920,0.5,27.47,14.54,27.47,18.79,24.16,18.68,26.77,18.55,23.78,17.99,1022,31,8.39,6.26,325,7.26,803,Clouds,broken clouds,04d,57,0.0,8.0,
8,1,St Malo,48.649518,-2.0260409,1657108800,1657080776,1657138341,1657107660,1657064160,0.23,19.7,14.29,19.76,16.93,18.49,16.68,19.42,16.98,18.38,16.65,1029,65,12.44,6.99,321,10.9,803,Clouds,broken clouds,04d,62,0.0,7.65,
9,1,St Malo,48.649518,-2.0260409,1657195200,1657167223,1657224712,1657198440,1657151460,0.25,19.04,15.92,19.51,16.91,18.38,17.0,18.93,16.8,18.15,17.13,1029,74,13.96,7.81,348,10.4,801,Clouds,few clouds,02d,21,0.0,8.19,
10,1,St Malo,48.649518,-2.0260409,1657281600,1657253673,1657311081,1657289460,1657238880,0.3,20.7,14.14,20.7,17.12,19.4,15.69,20.31,17.13,19.17,15.04,1032,57,11.18,6.18,337,9.68,800,Clear,clear sky,01d,2,0.0,8.0,
11,1,St Malo,48.649518,-2.0260409,1657368000,1657340125,1657397446,1657380780,1657326420,0.33,21.42,16.61,21.42,16.86,20.19,17.85,21.34,16.77,19.94,17.91,1029,66,14.11,7.98,353,11.02,800,Clear,clear sky,01d,0,0.0,7.76,
12,1,St Malo,48.649518,-2.0260409,1657454400,1657426579,1657483810,1657472280,1657414320,0.37,22.71,15.46,23.42,19.03,22.19,16.5,22.45,18.79,21.95,15.85,1026,54,12.19,9.13,25,12.6,801,Clouds,few clouds,02d,19,0.0,8.22,
13,1,St Malo,48.649518,-2.0260409,1657540800,1657513034,1657570170,1657563720,1657502760,0.41,23.31,16.25,23.31,18.43,22.36,17.47,23.08,18.1,22.09,17.05,1023,53,12.11,8.13,360,10.72,800,Clear,clear sky,01d,7,0.0,9.0,
14,1,St Malo,48.649518,-2.0260409,1657627200,1657599491,1657656528,1657654680,1657591860,0.45,23.36,16.06,23.36,18.85,21.83,17.47,23.06,18.31,21.53,17.2,1024,50,11.26,7.25,346,8.9,801,Clouds,few clouds,02d,12,0.0,9.0,
15,1,St Malo,48.649518,-2.0260409,1657713600,1657685950,1657742884,1657744680,1657682100,0.5,23.19,16.21,23.19,18.11,20.55,18.02,22.84,18.07,20.46,17.5,1022,49,10.47,5.99,350,9.76,802,Clouds,scattered clouds,03d,44,0.0,9.0,
16,2,Bayeux,49.2764624,-0.7024738,1657108800,1657080284,1657138198,1657107300,1657063860,0.23,20.34,13.14,21.08,15.63,20.02,16.53,19.81,15.52,19.7,16.41,1029,53,10.47,4.69,3,6.38,803,Clouds,broken clouds,04d,84,0.0,7.42,
17,2,Bayeux,49.2764624,-0.7024738,1657195200,1657166733,1657224567,1657198140,1657151160,0.25,19.31,13.63,19.99,14.26,18.45,16.24,18.86,13.88,17.92,16.27,1029,60,11.23,5.92,11,8.5,803,Clouds,broken clouds,04d,70,0.0,7.69,
18,2,Bayeux,49.2764624,-0.7024738,1657281600,1657253184,1657310935,1657289220,1657238520,0.3,22.73,11.48,22.85,15.22,20.96,14.45,22.16,15.1,20.52,13.88,1032,42,9.07,4.49,12,4.14,800,Clear,clear sky,01d,1,0.0,7.8,
19,2,Bayeux,49.2764624,-0.7024738,1657368000,1657339637,1657397299,1657380600,1657326000,0.33,21.33,14.95,22.02,14.95,20.53,17.67,20.88,14.72,19.89,17.71,1030,52,11.0,5.61,7,7.6,800,Clear,clear sky,01d,1,0.0,7.76,
20,2,Bayeux,49.2764624,-0.7024738,1657454400,1657426092,1657483661,1657472100,1657413840,0.37,21.5,12.56,21.5,16.07,19.8,15.39,21.09,15.95,19.45,14.79,1028,53,11.44,7.55,31,10.34,801,Clouds,few clouds,02d,14,0.0,8.04,
21,2,Bayeux,49.2764624,-0.7024738,1657540800,1657512549,1657570020,1657563600,1657502220,0.41,22.9,14.28,22.9,15.6,19.33,16.31,22.39,15.43,18.86,15.8,1025,44,9.7,6.67,26,9.42,800,Clear,clear sky,01d,9,0.0,9.0,
22,2,Bayeux,49.2764624,-0.7024738,1657627200,1657599007,1657656377,1657654560,1657591320,0.45,22.99,14.84,22.99,14.84,20.25,16.21,22.47,14.55,19.66,16.03,1025,43,9.34,5.62,9,6.47,800,Clear,clear sky,01d,0,0.0,9.0,
23,2,Bayeux,49.2764624,-0.7024738,1657713600,1657685468,1657742731,1657744560,1657681500,0.5,25.41,14.17,25.41,17.92,21.11,17.85,24.89,17.88,20.76,17.44,1022,34,7.82,5.88,20,5.02,804,Clouds,overcast clouds,04d,90,0.0,9.0,
24,3,Le Havre,49.4938975,0.1079732,1657108800,1657080028,1657138065,1657107120,1657063620,0.23,18.48,15.32,18.6,17.15,18.37,16.97,18.03,17.22,18.09,16.65,1028,63,10.91,5.1,341,6.4,804,Clouds,overcast clouds,04d,94,0.0,7.11,
25,3,Le Havre,49.4938975,0.1079732,1657195200,1657166477,1657224434,1657197960,1657150920,0.25,18.75,15.96,19.92,15.96,19.2,17.44,18.3,15.6,18.79,17.54,1029,62,10.9,6.84,354,9.28,802,Clouds,scattered clouds,03d,48,0.0,7.61,
26,3,Le Havre,49.4938975,0.1079732,1657281600,1657252929,1657310801,1657289040,1657238280,0.3,20.72,13.44,20.72,17.46,20.19,14.93,20.31,17.3,19.83,14.33,1032,56,10.65,5.74,346,6.06,800,Clear,clear sky,01d,0,0.0,7.88,
27,3,Le Havre,49.4938975,0.1079732,1657368000,1657339382,1657397165,1657380420,1657325820,0.33,20.03,17.21,20.71,17.45,20.25,18.01,19.66,16.74,19.77,17.98,1029,60,11.01,6.21,342,7.41,800,Clear,clear sky,01d,1,0.0,7.73,
28,3,Le Havre,49.4938975,0.1079732,1657454400,1657425838,1657483526,1657471980,1657413600,0.37,21.31,14.41,21.65,17.73,21.06,15.67,21.01,17.57,20.79,15.2,1027,58,12.04,7.64,17,9.71,800,Clear,clear sky,01d,0,0.0,8.03,
