,id,city,lat,lon,dt,sunrise,sunset,moonrise,moonset,moon_phase,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,feels_like_day,feels_like_night,feels_like_eve,feels_like_morn,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,weather_id,weather_main,weather_description,weather_icon,clouds,pop,rain,uvi
0,0,Mont Saint Michel,48.6359541,-1.511459954959514,1663930800,1663912423,1663956197,1663900980,1663954560,0.92,17.92,13.22,19.38,15.24,16.12,13.52,17.33,15.17,16.14,12.83,1016,60,9.68,4.32,305,6.86,500,Rain,light rain,10d,100,0.76,1.34,0.78
1,0,Mont Saint Michel,48.6359541,-1.511459954959514,1664017200,1663998907,1664042469,1663991640,1664041980,0.95,17.82,11.41,19.02,12.0,16.19,11.44,17.07,11.29,15.43,11.07,1016,54,8.25,6.55,341,7.19,500,Rain,light rain,10d,33,0.74,1.89,3.31
2,0,Mont Saint Michel,48.6359541,-1.511459954959514,1664103600,1664085392,1664128742,1664082360,1664129340,0.98,16.65,10.31,17.52,10.31,16.14,13.41,16.12,9.59,15.22,13.1,1017,67,10.26,7.29,25,13.05,500,Rain,light rain,10d,89,0.73,1.83,3.32
3,0,Mont Saint Michel,48.6359541,-1.511459954959514,1664190000,1664171876,1664215014,1664173140,1664216640,0.0,14.73,9.86,15.67,14.16,14.42,12.36,14.35,13.35,13.75,11.71,1009,80,11.03,9.27,299,13.0,500,Rain,light rain,10d,85,0.98,2.19,1.94
4,0,Mont Saint Michel,48.6359541,-1.511459954959514,1664276400,1664258361,1664301286,1664264040,1664304060,0.05,15.22,13.75,15.6,15.43,14.76,13.92,14.94,15.48,14.46,13.14,1006,82,11.94,10.37,295,13.04,501,Rain,moderate rain,10d,98,1.0,5.91,1.58
5,0,Mont Saint Michel,48.6359541,-1.511459954959514,1664362800,1664344846,1664387559,1664355060,1664391600,0.09,14.91,11.51,15.32,11.51,13.03,12.89,14.31,10.88,12.35,12.3,1003,71,9.46,7.82,304,11.82,501,Rain,moderate rain,10d,100,1.0,16.64,2.0
6,0,Mont Saint Michel,48.6359541,-1.511459954959514,1664449200,1664431332,1664473832,1664446260,1664479380,0.12,15.27,10.8,15.27,11.15,12.1,11.09,14.68,10.51,11.48,10.53,1004,70,9.72,5.9,316,8.51,500,Rain,light rain,10d,64,0.98,11.74,2.0
7,0,Mont Saint Michel,48.6359541,-1.511459954959514,1664535600,1664517817,1664560106,1664537580,1664567640,0.16,16.7,8.62,17.37,13.79,13.62,8.62,15.97,13.21,13.0,7.71,1010,59,8.39,2.06,131,2.47,800,Clear,clear sky,01d,3,0.16,,2.0
8,1,St Malo,48.649518,-2.0260409,1663934400,1663912546,1663956321,1663901100,1663954740,0.92,18.39,15.03,19.41,16.23,16.21,15.07,17.67,15.97,16.03,14.77,1016,53,8.57,5.78,344,8.06,500,Rain,light rain,10d,100,0.91,3.08,1.79
9,1,St Malo,48.649518,-2.0260409,1664020800,1663999031,1664042593,1663991820,1664042100,0.95,17.29,14.57,17.29,14.58,15.11,14.57,16.54,13.92,14.4,13.99,1016,56,8.26,6.67,355,7.87,500,Rain,light rain,10d,73,0.71,1.81,3.21
10,1,St Malo,48.649518,-2.0260409,1664103600,1664085515,1664128865,1664082480,1664129460,0.98,16.42,13.61,16.93,13.61,15.6,14.86,15.87,12.8,14.94,14.46,1018,67,10.16,9.35,23,11.53,500,Rain,light rain,10d,76,0.59,3.13,3.33
11,1,St Malo,48.649518,-2.0260409,1664190000,1664172000,1664215137,1664173260,1664216760,0.0,15.63,11.86,16.49,14.66,14.92,12.47,15.36,13.9,14.24,11.84,1009,81,12.26,10.76,307,14.76,500,Rain,light rain,10d,98,0.88,1.82,2.57
12,1,St Malo,48.649518,-2.0260409,1664276400,1664258485,1664301410,1664264160,1664304180,0.05,16.3,13.96,16.3,16.15,15.55,13.96,16.0,16.25,15.35,13.37,1007,77,12.29,12.72,299,15.78,501,Rain,moderate rain,10d,95,1.0,7.35,2.4
13,1,St Malo,48.649518,-2.0260409,1664362800,1664344970,1664387682,1664355180,1664391720,0.09,14.91,13.58,15.88,13.58,14.35,14.41,14.28,12.93,13.75,13.79,1004,70,9.56,9.35,308,13.88,501,Rain,moderate rain,10d,100,0.98,13.16,3.0
14,1,St Malo,48.649518,-2.0260409,1664449200,1664431455,1664473955,1664446380,1664479500,0.12,15.45,12.76,15.52,13.24,13.88,13.04,14.8,12.6,13.2,12.44,1005,67,9.25,7.24,312,10.06,500,Rain,light rain,10d,43,0.94,9.13,3.0
